,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
0,wikidataId/Q1000316,,,,,,,,,2743.0,,,,,,Springhill,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1000316,wikidataId/Q1000316,CAN,Canada
1,wikidataId/Q1001461,,,,,,,,,3708.0,,,,,,Raymond,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1001461,wikidataId/Q1001461,CAN,Canada
2,wikidataId/Q1001646,,,,,344.0,,,,,,,,,,Faro,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1001646,wikidataId/Q1001646,CAN,Canada
3,wikidataId/Q1001810,,,,,,,,,613.0,,,,,,Haines Junction,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1001810,wikidataId/Q1001810,CAN,Canada
4,wikidataId/Q1001811,,,,,,,,,72.0,,,,,,Burwash Landing,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1001811,wikidataId/Q1001811,CAN,Canada
5,wikidataId/Q1004103,,,,,,,,,9706.0,,,,,,Stratford,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1004103,wikidataId/Q1004103,CAN,Canada
6,wikidataId/Q1004113,,,,,,,,,5101.0,,,,,,Westlock,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1004113,wikidataId/Q1004113,CAN,Canada
7,wikidataId/Q1004121,,,,,,,,,989.0,,,,,,Killam,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1004121,wikidataId/Q1004121,CAN,Canada
8,wikidataId/Q1004125,,,,,,,,,824.0,,,,,,Daysland,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1004125,wikidataId/Q1004125,CAN,Canada
9,wikidataId/Q1004192,,,,,,,,,58520.0,,,,,,Saint Boniface,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1004192,wikidataId/Q1004192,CAN,Canada
10,wikidataId/Q1006756,,,,,,,,,2580.0,,,,,,Shippagan,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006756,wikidataId/Q1006756,CAN,Canada
