,place,2001,2005,2008,2010,2011,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
0,wikidataId/Q1000495,,,,,236516.0,,,,,,,,,,,,Rewa,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1000495,wikidataId/Q1000495,IND,India
1,wikidataId/Q1003496,,,,,215804.0,,,,,,,,,,,,Eluru,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1003496,wikidataId/Q1003496,IND,India
2,wikidataId/Q1006240,,,,,130955.0,,,,,,,,,,,,Palakkad,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006240,wikidataId/Q1006240,IND,India
3,wikidataId/Q1006277,,,,,,,,,,,131211.0,,,,,,Mandya,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006277,wikidataId/Q1006277,IND,India
4,wikidataId/Q1006282,,,,,94883.0,,,,,,,,,,,,Kodungallur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006282,wikidataId/Q1006282,IND,India
5,wikidataId/Q1006330,,,,,125543.0,,,,,,,,,,,,Nabadwip,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006330,wikidataId/Q1006330,IND,India
6,wikidataId/Q1006338,,,,,181182.0,,,,,,,,,,,,Krishnanagar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006338,wikidataId/Q1006338,IND,India
7,wikidataId/Q1006343,,,,,814655.0,,,,,,,,,,,,Mira-Bhayandar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006343,wikidataId/Q1006343,IND,India
8,wikidataId/Q1006363,,,,,263000.0,,,,,,,,,,,,Jagdalpur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1006363,wikidataId/Q1006363,IND,India
9,wikidataId/Q10086,,,,,920550.0,,,,,,,,,,,,Mysore,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10086,wikidataId/Q10086,IND,India
10,wikidataId/Q1012706,,,,,311000.0,,,,,,,,,,,,Rourkela,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1012706,wikidataId/Q1012706,IND,India
11,wikidataId/Q1013556,8962.0,,,,,,,,,,,,,,,,Halebidu,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1013556,wikidataId/Q1013556,IND,India
12,wikidataId/Q1017723,,,,,180180.0,,,,,,,,,,,,Madanapalle,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1017723,wikidataId/Q1017723,IND,India
13,wikidataId/Q1023682,,,,,75755.0,,,,,,,,,,,,Wadhwan,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1023682,wikidataId/Q1023682,IND,India
14,wikidataId/Q1025124,38471.0,,,,,,,,,,,,,,,,Munnar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025124,wikidataId/Q1025124,IND,India
15,wikidataId/Q1025266,,,,,37538.0,,,,,,,,,,,,Pathanamthitta,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025266,wikidataId/Q1025266,IND,India
16,wikidataId/Q1025468,,,,,54081.0,,,,,,,,,,,,Jalore,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025468,wikidataId/Q1025468,IND,India
17,wikidataId/Q1025475,,,,,180362.0,,,,,,,,,,,,Jaunpur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1025475,wikidataId/Q1025475,IND,India
18,wikidataId/Q1026898,,,,,1204.0,,,,,,,,,,,,Naina Devi,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1026898,wikidataId/Q1026898,IND,India
19,wikidataId/Q1026903,,,,,42254.0,,,,,,,,,,,,Jaigaon,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1026903,wikidataId/Q1026903,IND,India
20,wikidataId/Q10962828,,,,,15610.0,,,,,,,,,,,,Narayankhed,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q10962828,wikidataId/Q10962828,IND,India
21,wikidataId/Q1098939,,,,,4409.0,,,,,,,,,,,,Yelagiri,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1098939,wikidataId/Q1098939,IND,India
22,wikidataId/Q1105252,,,,,101398.0,,,,,,,,,,,,Chilakaluripet,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1105252,wikidataId/Q1105252,IND,India
23,wikidataId/Q11103996,,,,,,,,,,,,,102000.0,,,,Markapur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q11103996,wikidataId/Q11103996,IND,India
24,wikidataId/Q1113891,,,,,,,,,,,,,,,133232.0,,Uran,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1113891,wikidataId/Q1113891,IND,India
25,wikidataId/Q11198998,,,,,152654.0,,,,,,,,,,,,Chittoor,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q11198998,wikidataId/Q11198998,IND,India
26,wikidataId/Q1154,,,,,479920.0,,,,,,,,,,,,Jamnagar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1154,wikidataId/Q1154,IND,India
27,wikidataId/Q1156,,,,,12478447.0,,,,,,,,,,,,Mumbai,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1156,wikidataId/Q1156,IND,India
28,wikidataId/Q1156554,,,,,51240.0,,,,,,,,,,,,Dabhoi,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1156554,wikidataId/Q1156554,IND,India
29,wikidataId/Q1190907,,,,,100800.0,,,,,,,,,,,,Chirmiri,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1190907,wikidataId/Q1190907,IND,India
30,wikidataId/Q11910,,,,,292167.0,,,,,,,,,,,,Gandhinagar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q11910,wikidataId/Q11910,IND,India
31,wikidataId/Q119219,,,,,1729320.0,,,,,,,,,,,,Pimpri-Chinchwad,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q119219,wikidataId/Q119219,IND,India
32,wikidataId/Q1192453,,,,,203123.0,,,,,,,,,,,,Deoghar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1192453,wikidataId/Q1192453,IND,India
33,wikidataId/Q1193800,,,,,172826.0,,,,,,,,,,,,Chirala,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1193800,wikidataId/Q1193800,IND,India
34,wikidataId/Q12064134,,,,,54787.0,,,,,,,,,,,,Nileshwaram,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q12064134,wikidataId/Q12064134,IND,India
35,wikidataId/Q12422734,,,,,108648.0,,,,,,,,,,,,Khopoli,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q12422734,wikidataId/Q12422734,IND,India
36,wikidataId/Q12435629,,,,,459999.0,,,,,,,,,,,,Nala Sopara,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q12435629,wikidataId/Q12435629,IND,India
37,wikidataId/Q12442470,,,,,153330.0,,,,,,,,,,,,Betul,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q12442470,wikidataId/Q12442470,IND,India
38,wikidataId/Q12447537,,,,,169127.0,,,,,,,,,,,,Medinipur,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q12447537,wikidataId/Q12447537,IND,India
39,wikidataId/Q1254798,,,,,29731.0,,,,,,,,,,,,Devarakonda,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1254798,wikidataId/Q1254798,IND,India
40,wikidataId/Q1259573,,,,,,,,,84545.0,,,,,,,,Dhoraji,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1259573,wikidataId/Q1259573,IND,India
41,wikidataId/Q1259584,30000.0,,,,,,,,,,,,,,,,Dhandhuka,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1259584,wikidataId/Q1259584,IND,India
42,wikidataId/Q1263568,,,,,249852.0,,,,,,,,,,,,Dholka,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1263568,wikidataId/Q1263568,IND,India
43,wikidataId/Q1263667,19201.0,,,,,,,,,,,,,,,,Devgadh Bariya,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1263667,wikidataId/Q1263667,IND,India
44,wikidataId/Q1265559,,,,,75133.0,,,,,,,,,,,,Dhrangadhra,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1265559,wikidataId/Q1265559,IND,India
45,wikidataId/Q1266017,,,,,37893.0,,,,,,,,,,,,Dhanera,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1266017,wikidataId/Q1266017,IND,India
46,wikidataId/Q1266637,,,,,154019.0,,,,,,,,,,,,Dibrugarh,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1266637,wikidataId/Q1266637,IND,India
47,wikidataId/Q127041,,,,,484785.0,,,,,,,,,,,,Mangalore,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q127041,wikidataId/Q127041,IND,India
